,plant_name,Acmaeops longicornis,Acmaeops pratensis,Agapostemon coloradensis,Agapostemon sp1 M_PL_005,Agapostemon splendens,Agathis vulgaris,Ancistrocerus sp1 M_PL_005,Andrena apacheorum,Andrena braccata,Andrena canadensis,Andrena crataegi,Andrena edwiniae,Andrena gardineri,Andrena imitatrix,Andrena lewisi,Andrena madronitens,Andrena placida,Andrena prunorum,Andrena sp1 M_PL_005,Andrena vicina,Andrena washingtoni,Andronicus sp1 M_PL_005,Anthidium tenuiflorae,Anthomyia sp1 M_PL_005,Anthophora bomboides,Anthophora neomexicana,Anthophora occidentalis,Anthophora simillima,Anthophora smithi,Anthrax alternata,Anthrax fulviana,Anthrax halycon,Anthrax hypomelas,Anthrax lateralis,Anthrax nigra,Anthrax sinuosa,Anthrax tegminipennis,Apanteles sp1 M_PL_005,Apis mellifera,Archytas sp1 M_PL_005,Arctophila flagrans,Argynnis atlantis,Argynnis eurynome,Atrytone taxiles,Basilarchia weidemeyeri,Bembix spinolae,Bombomelecta fulvida,Bombus americanorum,Bombus appositus,Bombus bifarius,Bombus centralis,Bombus dorsalis,Bombus edwardsi,Bombus fervidus,Bombus flavifrons,Bombus fulvida,Bombus hunti,Bombus juxtus,Bombus kirbyellus,Bombus morrisoni,Bombus nevadensis,Bombus occidentalis,Bombus pennsylvanicus,Bombus rufocinctus,Bombylius atriceps,Brachyopa notata,Bracon helena,Bracon vulgaris,Brenthis helena,Brenthis triclaris,Calliphora vomitoria,Celerio lineata,Cenis uhleri,Cerastomia lignaria,Ceratina sp1 M_PL_005,Chilosia petulca,Chilosia tristis,Chionobis macouni,Chrysogsater parva,Chrysophanus helloides,Chrysophanus rubidus,Chrysophanus sirius,Chrysotoxum integrum,Chrysotoxum upsilon,Chrysotoxum ventricosum,Clisodon sp1 M_PL_005,Clisodon terminalis,Coelioxys moesta,Coenonympha pamphiloides,Colias alexandra,Colias edwardsi,Colias keewaydina,Colias scudderi,Colletes americanus,Colletes kincaidi,Colletes oromontis,Colletes sieverti,Colletes sp1 M_PL_005,Ctenucha sp1 M_PL_005,Curtipogon leucozona,Dasyllis fernaldi,Dejeania vexatrix,Dolichovespula arctica,Dolichovespula diabolica,Echinomyia algens,Echinomyia decias,Ectemius montanus,Ectemius muricatus,Eliphilus latifrons,Epalpus bicolor,Epalpus rufus,Epeolus helianthi,Erebia epipsodea,Eristalis arbustorum,Eristalis dimidiatus,Eristalis flavipes,Eristalis latifrons,Eristalis meigeni,Eristalis temporalis,Eristalis tenax,Erizoa olivalis,Erynnis leonardus snowi,Exoprosopa caliptera,Exoprosopa divisa,Exoprosopa volucris,Foenus perplexus,Geocoris bullatus,Glypta sp1 M_PL_005,Gnophaela vermiculata,Gonochrysis densa,Grapta hylas,Halictus chloralictus,Halictus fendleri,Halictus lerouxi,Halictus manitonellus,Halictus medionitens,Halictus pulzenus,Halictus sp1 M_PL_005,Halictus sp2 M_PL_005,Halictus sp3 M_PL_005,Halicyoides mamus,Hammerschmidtia ferruginea,Heriades gracilior,Heringia salix,Hyloicus separatus,Irbisia brachycerus,Lemonias nubigena wheeleri,Leptura chrysocoma,Lithargus apicalis opuntiae,Lycaena glaucon,Lycaena pseudargiolus,Lygus pratensis,Mallota flavoterminata,Megachile gemula albula,Megachile pugnata,Megachile relativa,Megachile sp1 M_PL_005,Megachile texana,Megachile vidua,Megachile wootoni,Megachile wootoni calogaster,Melissodes aurigenia,Melissodes fremonti,Melissodes sp1 M_PL_005,Melitaea sp1 M_PL_005,Melitaea whitneyi,Mesogramma marginata,Microdon cothurnatus,Monumetha albifrons,Monumetha argentifrons,Mordella melaena,Myopa clausa,Nathalis iole,Nomada sp1 M_PL_005,Odynerus annulatus,Omalus sp1 M_PL_005,Ophion sp1 M_PL_005,Osmia abnormis,Osmia albolateralis,Osmia bella,Osmia brevis,Osmia bruneri,Osmia coloradella,Osmia densa,Osmia fulgida,Osmia hypoleuca,Osmia megacephala,Osmia melanotricha,Osmia nigrifrons,Osmia pentstemonis,Osmia phaceliae,Osmia propinqua,Osmia pusilla,Osmia rohweri,Osmia sp1 M_PL_005,Osmia wardiana,Oxybelus sp1 M_PL_005,Panurginus cressoniellus,Panurginus sp1 M_PL_005,Panzeria radicum,Papilio rutulus,Paragus bicolor,Parnassius clodius,Parnassius smintheus,Peleteria robusta,Phorbia fusciceps,Phormia camillus,Phormia regina,Pieris protodice,Pieris sisymbri,Pipiza sp1 M_PL_005,Pipiza vanduzeei,Pompiloides sp1 M_PL_005,Prosopis basalis,Prosopis coloradensis,Prosopis cressoni,Prosopis elliptica,Prosopis episcopalis,Prosopis sp1 M_PL_005,Prosopis tridentula,Prosopis varifrons,Prosopis wootoni,Protoparce quinquemaculatus,Protothyreopus dilectus,Psammophila violacepennis,Pseudomasaris vespoides,Pseudomelecta californica miranda,Psithyrus ashtoni,Psithyrus consultus,Psithyrus fernaldae,Psithyrus insularis,Ptilodexia harpasa,Pyrameis atlanta,Satyrus charon,Scaba opinator,Selasphorus platycercus,Solenius sp1 M_PL_005,Specomyia vittata,Spegina infuscata,Sphaerophoria cylindrica,Sphecodes sophiae,Sphex vulgaris,Sterictophora sp1 M_PL_005,Synanthedon albicornis,Syritta pipiens,Syrphus amalopis,Syrphus americanus,Syrphus disgregus,Syrphus nitens,Syrphus opinator,Systoechus vulgaris,Tabanus rhombicus,Temnostoma aequale,Tenthredella flavomarginis,Tenthredella unicincta,Tetrachrysis lauta,Tetraopes sp1 M_PL_005,Thanaos martialis,Thanaos propertius,Theventimtia muricatus,Thyreocoris anthracina,Titusella pronitens,Trichius affinis,Trichodes ornatus,Trichopticus septentrionalis,Triepeolus helianthi grandior,Trypeta occidentalis,Vespa germanica,Vespa occidentalis,Volucella rufomaculata,Volucella satur,Xylota angustiventris,Xylota flavitibia,Xylota nigra,Zodion pygmaeum,is_exotic
0,achillea millefolium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1,aconitum columbianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,allium recurvatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,apocynum androsaemifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,aquilegia brevistyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,aquilegia coerulea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,aragalus lamberti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,arctostaphylus uva-ursi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,asclepias halli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
9,asclepias speciosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
