,plant_name,Adalia deficiens,Allograpta hortensis,Allograpta pulchra,Apis mellifera,Bombus dahlbomii,Cadeguala albopilosa,Cadeguala occipitalis,Caenohalictus movilicornis,Callideriphus laetus,Carduelis barbatus,Chauliognathus sp1 M_PL_034,Cheilosia nitescens,Chenoderus testaceus,Chlamysus sp1 M_PL_034,Clamirius apicarius,Corynura aff. atrovirens,Corynura aff. lepida,Corynura corynogastra,Corynura patagonica,Corynura rubella,Craspedochaeta linbinervis,Dasydema hirtella,Diphaglossa gayi,Dolichogyna chilensis,Dolichogyna nigripes,Dysmorphocellus sp1 M_PL_034,Elaenia albiceps,Eristalis assimilis,Eristalis elegans,Eristalis tenax,Eroessa chilensis,Eurymetopun obscurum,Eurymetopun prasinum,Eurymetopun proteus,Fannia sp1 M_PL_034,Fannia sp2 M_PL_034,Fannia sp3 M_PL_034,Fannia sp4 M_PL_034,Fannia sp5 M_PL_034,Fannia sp6 M_PL_034,Fannia sp7 M_PL_034,Fazia bullaephora,Fazia macquarti,Hylodanacea binotus,Hylodanacea elegans,Hypodynerus sp1 M_PL_034,Hyponotum kraussei,Lypha erigonopsidis,Macrometopia atra,Mecopselaphus maculicollis,Megalybus crassus,Melanophthalma aff. seminigra,Melanostoma chalconotus,Melanostoma fenestratus,Melanostoma lundbladi,Melanostoma sp1 M_PL_034,Mesograpta calceolatus,Mesograpta philippi,Mordella erythrura,Mordella luctuosa,Morphodexia sp1 M_PL_034,Peleteria filipalpis,Phrygilus patagonicus,Platynocera gracilipes,Platynocera gracilis,Protosialis chilensis,Rhopalomerus tenuirostris,Scaptia horrens,Schizochelus serratus,Sephanoides sephaniodes,Stilbosona cyanea,Syrphus octomaculatus,Thrypticus sp1 M_PL_034,Trichophthalma commutata,Trichophthalma herbsti,Tropidia sp1 M_PL_034,Unidentified sp1 M_PL_034,Unidentified sp10 M_PL_034,Unidentified sp11 M_PL_034,Unidentified sp12 M_PL_034,Unidentified sp13 M_PL_034,Unidentified sp14 M_PL_034,Unidentified sp15 M_PL_034,Unidentified sp16 M_PL_034,Unidentified sp17 M_PL_034,Unidentified sp18 M_PL_034,Unidentified sp19 M_PL_034,Unidentified sp2 M_PL_034,Unidentified sp20 M_PL_034,Unidentified sp21 M_PL_034,Unidentified sp22 M_PL_034,Unidentified sp23 M_PL_034,Unidentified sp24 M_PL_034,Unidentified sp25 M_PL_034,Unidentified sp26 M_PL_034,Unidentified sp27 M_PL_034,Unidentified sp28 M_PL_034,Unidentified sp29 M_PL_034,Unidentified sp3 M_PL_034,Unidentified sp30 M_PL_034,Unidentified sp31 M_PL_034,Unidentified sp32 M_PL_034,Unidentified sp33 M_PL_034,Unidentified sp34 M_PL_034,Unidentified sp35 M_PL_034,Unidentified sp36 M_PL_034,Unidentified sp37 M_PL_034,Unidentified sp38 M_PL_034,Unidentified sp39 M_PL_034,Unidentified sp4 M_PL_034,Unidentified sp40 M_PL_034,Unidentified sp41 M_PL_034,Unidentified sp42 M_PL_034,Unidentified sp43 M_PL_034,Unidentified sp44 M_PL_034,Unidentified sp46 M_PL_034,Unidentified sp47 M_PL_034,Unidentified sp48 M_PL_034,Unidentified sp49 M_PL_034,Unidentified sp5 M_PL_034,Unidentified sp50 M_PL_034,Unidentified sp51 M_PL_034,Unidentified sp6 M_PL_034,Unidentified sp7 M_PL_034,Unidentified sp8 M_PL_034,Unidentified sp9 M_PL_034,Vanessa sp1 M_PL_034,Vespula germanica,is_exotic
0,amomyrtus luma,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
1,amomyrtus meli,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
2,anagallis alternifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,asteranthera ovata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,berberis buxifolia,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,berberis darwinii,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,caldcluvia paniculata,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False
7,embothrium coccineum,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,eucryphia cordifolia,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,False
9,gaultheria mucronata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
